Account Length,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn
98,no,no,0,126.3,102,166.8,85,187.8,135,9.4,2,2.54,3,False
135,yes,yes,41,173.1,85,203.9,107,122.2,78,14.6,15,3.94,0,True
34,no,no,0,124.8,82,282.2,98,311.5,78,10,4,2.7,2,False
160,no,no,0,85.8,77,165.3,110,178.5,92,9.2,4,2.48,3,False
64,no,no,0,154,67,225.8,118,265.3,86,3.5,3,0.95,1,False
59,no,yes,28,120.9,97,213,92,163.1,116,8.5,5,2.3,2,False
65,no,no,0,211.3,120,162.6,122,134.7,118,13.2,5,3.56,3,False
142,no,no,0,187,133,134.6,74,242.2,127,7.4,5,2,2,False
119,no,no,0,159.1,114,231.3,117,143.2,91,8.8,3,2.38,5,True
97,no,yes,24,133.2,135,217.2,58,70.6,79,11,3,2.97,1,False
52,no,no,0,191.9,108,269.8,96,236.8,87,7.8,5,2.11,3,False
60,no,no,0,220.6,57,211.1,115,249,129,6.8,3,1.84,1,False
10,no,no,0,186.1,112,190.2,66,282.8,57,11.4,6,3.08,2,False
96,no,no,0,160.2,117,267.5,67,228.5,68,9.3,5,2.51,2,False
87,no,no,0,151,83,219.7,116,203.9,127,9.7,3,2.62,5,True
81,no,no,0,175.5,67,249.3,85,270.2,98,10.2,3,2.75,1,False
141,no,no,0,126.9,98,180,62,140.8,128,8,2,2.16,1,False
121,no,yes,30,198.4,129,75.3,77,181.2,77,5.8,3,1.57,3,True
68,no,no,0,148.8,70,246.5,164,129.8,103,12.1,3,3.27,3,False
125,no,no,0,229.3,103,177.4,126,189.3,95,12,8,3.24,1,False
174,no,no,0,192.1,97,169.9,94,166.6,54,11.4,4,3.08,1,False
116,no,yes,34,268.6,83,178.2,142,166.3,106,11.6,3,3.13,2,False
74,no,yes,33,193.7,91,246.1,96,138,92,14.6,3,3.94,2,False
149,no,yes,28,180.7,92,187.8,64,265.5,53,12.6,3,3.4,3,False
38,no,no,0,131.2,98,162.9,97,159,106,8.2,6,2.21,2,False
40,no,yes,41,148.1,74,169.5,88,214.1,102,6.2,5,1.67,2,False
43,yes,no,0,251.5,105,212.8,104,157.8,67,9.3,4,2.51,0,False
113,yes,no,0,125.2,93,206.4,119,129.3,139,8.3,8,2.24,0,False
126,no,no,0,211.6,70,216.9,80,153.5,60,7.8,1,2.11,1,False
150,no,no,0,178.9,101,169.1,110,148.6,100,13.8,3,3.73,4,True
138,no,no,0,241.8,93,170.5,83,295.3,104,11.8,7,3.19,3,False
162,no,yes,46,224.9,97,188.2,84,254.6,61,12.1,2,3.27,0,False
147,no,no,0,248.6,83,148.9,85,172.5,109,8,4,2.16,3,False
90,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1.97,1,False
85,no,no,0,235.8,109,157.2,94,188.2,99,12,3,3.24,0,False
50,no,no,0,157.1,90,223.3,72,181.4,111,6.1,2,1.65,1,False
82,no,no,0,300.3,109,181,100,270.1,73,11.7,4,3.16,0,True
144,no,no,0,61.6,117,77.1,85,173,99,8.2,7,2.21,4,True
46,no,no,0,214.1,72,164.4,104,177.5,113,8.2,3,2.21,2,False
70,no,no,0,170.2,98,155.2,102,228.6,76,15,2,4.05,1,False
144,no,no,0,201.1,99,303.5,74,224,119,13.2,2,3.56,1,False
116,yes,no,0,215.4,104,204.8,79,278.5,109,12.6,5,3.4,3,False
55,no,yes,25,165.6,123,136.1,95,175.7,90,11,2,2.97,3,False
70,no,yes,24,249.5,101,259.7,98,222.7,68,9.8,4,2.65,1,False
106,no,no,0,210.6,96,249.2,85,191.4,88,12.4,1,3.35,2,True
128,no,yes,29,179.3,104,225.9,86,323,78,8.6,7,2.32,0,False
94,no,no,0,157.9,105,155,101,189.6,84,8,5,2.16,4,True
111,no,no,0,214.3,118,208.5,76,182.4,98,12,2,3.24,1,False
74,no,yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2.94,2,False
128,no,no,0,237.9,125,247.6,93,208.9,68,13.9,4,3.75,1,True
82,no,no,0,143.9,61,194.9,105,109.6,94,11.1,2,3,1,False
155,no,no,0,203.4,100,190.9,104,196,119,8.9,4,2.4,0,True
80,no,no,0,124.3,100,173,107,253.2,62,7.9,9,2.13,1,False
78,no,no,0,252.9,93,178.4,112,263.9,105,9.5,7,2.57,3,False
90,no,no,0,179.1,71,190.6,81,127.7,91,10.6,7,2.86,3,False
104,no,no,0,278.4,106,81,113,163.2,137,9.8,5,2.65,1,False
73,no,no,0,160.1,110,213.3,72,174.1,72,13,4,3.51,0,False
99,no,no,0,198.2,87,207.3,76,190.9,113,8.7,3,2.35,4,False
120,no,no,0,212.1,131,209.4,104,167.2,96,5.3,5,1.43,1,True
77,no,no,0,251.8,72,205.7,126,275.2,109,9.8,7,2.65,2,True
98,no,yes,21,161.2,114,252.2,83,160.2,92,4.4,8,1.19,4,False
108,no,no,0,178.3,137,189,76,129.1,102,14.6,5,3.94,0,False
135,no,no,0,151.7,82,119,105,180,100,10.5,6,2.84,0,False
95,no,no,0,135,99,183.6,106,245.3,102,12.5,9,3.38,1,False
122,no,no,0,170.5,94,173.7,109,248.6,75,11.3,2,3.05,1,False
95,no,no,0,238.1,65,187.2,98,190,115,11.8,4,3.19,4,False
36,no,yes,29,281.4,102,202.2,76,187.2,113,9,6,2.43,2,False
93,no,yes,21,117.9,131,164.5,115,217,86,9.8,3,2.65,1,False
141,no,yes,32,148.6,91,131.1,97,219.4,142,10.1,1,2.73,1,False
157,no,no,0,229.8,90,147.9,121,241.4,108,9.6,7,2.59,3,False
120,no,no,0,165,100,317.2,83,119.2,86,8.3,8,2.24,1,False
103,no,no,0,185,117,223.3,94,222.8,91,12.6,2,3.4,2,False
98,no,no,0,161,117,190.9,113,227.7,113,12.1,4,3.27,4,False
125,no,no,0,126.7,108,206,90,247.8,114,13.3,7,3.59,1,False
63,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,2.54,1,False
36,yes,yes,42,196.8,89,254.9,122,138.3,126,20,6,5.4,0,True
64,no,no,0,162.6,83,152.3,109,57.5,122,14.2,3,3.83,1,False
74,no,no,0,282.5,114,219.9,48,170,115,9.4,4,2.54,1,True
112,no,yes,36,113.7,117,157.5,82,177.6,118,10,3,2.7,2,False
97,no,no,0,239.8,125,214.8,111,143.3,81,8.7,5,2.35,2,False
46,no,no,0,210.2,92,227.3,77,200.1,116,13.1,7,3.54,1,False
41,no,yes,22,213.8,102,141.8,86,142.2,123,7.2,3,1.94,0,False
121,no,no,0,190.7,103,183.5,117,220.8,103,9.8,4,2.65,3,False
193,no,no,0,170.9,124,132.3,95,112.9,89,11.6,3,3.13,1,False
130,no,no,0,154.2,119,110.2,98,227.4,117,9.2,5,2.48,2,False
85,no,no,0,201.4,52,229.4,104,252.5,106,12,3,3.24,1,False
162,no,no,0,70.7,108,157.5,87,154.8,82,9.1,3,2.46,4,True
61,no,yes,27,187.5,124,146.6,103,225.7,129,6.4,6,1.73,4,True
92,no,no,0,91.7,90,193.7,123,175,86,9.2,4,2.48,2,False
131,no,yes,36,214.2,115,161.7,117,264.7,102,9.5,4,2.57,3,False
90,no,no,0,145.5,92,217.7,114,146.9,123,10.9,2,2.94,3,False
75,no,no,0,166.3,125,158.2,86,256.7,80,6.1,5,1.65,1,False
78,no,no,0,231,115,230.4,140,261.4,120,9.5,3,2.57,1,False
82,no,no,0,200.3,96,201.2,102,206.1,60,7.1,1,1.92,4,False
163,no,no,0,197,109,202.6,128,206.4,80,9.1,10,2.46,1,False
91,yes,no,0,129.9,112,173.3,83,247.2,130,11.2,3,3.02,3,False
75,no,yes,21,175.8,97,217.5,106,237.5,134,5.3,4,1.43,5,False
91,no,no,0,203.1,106,210.1,113,195.6,129,12,3,3.24,3,False
127,no,yes,36,183.2,117,126.8,76,263.3,71,11.2,8,3.02,1,False
113,no,yes,23,205,101,152,60,158.6,59,10.2,5,2.75,2,False
110,no,no,0,148.5,115,276.4,84,193.6,112,12.4,3,3.35,1,False
120,no,yes,39,200.3,68,220.4,97,253.8,116,10.5,4,2.84,0,False
157,no,yes,28,192.6,107,195.5,74,109.7,139,6.8,5,1.84,3,False
103,no,no,0,246.5,47,195.5,84,200.5,96,11.7,4,3.16,1,False
117,yes,no,0,167.1,86,177.5,87,249.4,132,14.1,7,3.81,2,True
140,no,no,0,231.9,101,160.1,94,110.4,98,14.3,6,3.86,3,False
127,no,no,0,146.7,91,203.5,78,203.4,110,13.7,3,3.7,1,False
83,yes,no,0,271.5,87,216.3,126,121.1,105,11.7,4,3.16,1,False
121,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,2.3,1,False
145,no,yes,43,257.7,97,162.1,95,286.9,86,11.1,4,3,2,False
113,no,no,0,193.8,99,221.4,125,172.3,67,10.6,6,2.86,1,False
117,no,no,0,102.8,119,206.7,91,299,105,10.1,7,2.73,1,False
65,no,no,0,187.9,116,157.6,117,227.3,86,7.5,6,2.03,1,False
56,no,no,0,226,112,248.5,118,140.5,142,6.9,11,1.86,1,False
96,no,no,0,260.4,115,146,46,269.5,87,11.5,4,3.11,5,False
151,no,no,0,178.7,116,292.1,138,265.9,101,9.8,4,2.65,0,False
83,no,no,0,337.4,120,227.4,116,153.9,114,15.8,7,4.27,0,True
139,no,yes,23,157.6,129,247,96,259.2,112,13.7,2,3.7,0,False
6,no,no,0,183.6,117,256.7,72,178.6,79,10.2,2,2.75,1,False
115,no,yes,24,142.1,124,183.4,129,164.8,114,9.6,4,2.59,1,False
87,no,no,0,136.3,97,172.2,108,137.5,101,7.1,5,1.92,0,False
141,no,no,0,217.1,110,241.5,111,253.5,103,12,6,3.24,0,False
141,no,yes,36,187.5,99,241.4,116,229.5,105,10.5,5,2.84,3,False
62,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,3.29,1,False
146,no,no,0,206.3,151,148.6,89,167.2,91,6.1,3,1.65,1,False
92,no,yes,33,243.1,92,213.8,92,228.7,104,12.1,2,3.27,2,False
185,no,yes,31,189.8,126,163.3,133,264.8,126,7.5,3,2.03,1,False
148,no,no,0,202,102,243.2,128,261.3,90,10.9,3,2.94,1,False
94,no,yes,38,170.1,124,193.3,116,105.9,73,12.8,4,3.46,1,False
32,no,no,0,230.9,87,187.4,90,154,53,6.3,2,1.7,0,False
68,no,no,0,237.1,105,223.5,105,97.4,79,13.2,2,3.56,1,False
64,no,yes,27,182.1,91,169.7,98,164.7,86,10.6,5,2.86,2,False
25,no,no,0,119.3,87,211.5,101,268.9,86,10.5,4,2.84,3,False
65,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,3.81,1,False
179,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,1.65,0,False
94,no,no,0,252.6,104,169,125,170.9,106,11.1,7,3,2,False
62,no,no,0,147.1,91,190.4,107,195.2,115,12.2,3,3.29,0,False
127,no,no,0,202.1,103,229.4,86,195.2,113,11.5,3,3.11,2,False
116,no,no,0,173.5,93,194.1,76,208,112,16.2,10,4.37,3,False
70,no,no,0,232.1,122,292.3,112,201.2,112,0,0,0,3,False
94,yes,yes,23,197.1,125,214.5,136,282.2,103,9.5,5,2.57,4,False
126,no,no,0,58.2,94,138.7,118,136.8,91,11.9,1,3.21,5,True
67,no,yes,36,115.6,111,237.7,94,169.9,103,9.9,12,2.67,2,False
19,no,no,0,186.1,98,254.3,57,214,127,14.6,7,3.94,2,False
170,yes,no,0,259.9,68,245,122,134.4,121,8.4,3,2.27,3,False
73,no,no,0,214.3,145,268.5,135,241.2,92,10.8,13,2.92,1,False
106,no,no,0,158.7,74,64.3,139,198.5,103,10.2,4,2.75,1,False
93,no,no,0,271.6,71,229.4,108,77.3,121,10.9,3,2.94,2,False
164,no,no,0,160.6,111,163.2,126,187.1,112,9,3,2.43,1,False
51,no,no,0,232.4,109,187.4,95,231.2,107,9.1,3,2.46,1,False
107,no,no,0,133.8,85,180.5,94,112.2,115,8.9,4,2.4,0,False
130,no,no,0,176.9,109,90.7,104,238,69,9.5,2,2.57,1,False
80,no,no,0,209.9,74,195.1,77,208.2,119,8.8,4,2.38,2,False
94,no,no,0,137.5,118,203.2,88,150,131,13.4,2,3.62,0,False
118,no,yes,23,289.5,52,166.6,111,119.1,88,9.5,4,2.57,1,False
117,no,yes,23,198.1,86,177,86,180.5,92,6.8,6,1.84,1,False
78,no,no,0,149.7,119,182.2,115,261.5,126,9.7,8,2.62,0,False
208,no,no,0,326.5,67,176.3,113,181.7,102,10.7,6,2.89,2,True
131,yes,yes,26,292.9,101,199.7,97,255.3,127,13.8,7,3.73,4,True
63,no,no,0,83,64,177,106,245.7,89,13,3,3.51,0,False
53,no,yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3.54,3,False
62,no,no,0,182.3,101,328.2,93,245,131,11.2,1,3.02,2,False
97,no,no,0,218,86,184,94,240.5,110,6.4,8,1.73,3,False
105,no,no,0,140.6,109,178.6,51,217,83,6.8,3,1.84,2,False
157,no,no,0,152.7,105,257.5,80,198.1,93,9.4,4,2.54,1,False
66,no,yes,36,106.7,76,209.8,77,190.4,117,12.1,2,3.27,1,False
122,no,no,0,243.8,98,83.9,72,179.8,84,13.7,8,3.7,2,False
38,no,no,0,194.4,94,186.7,95,223.3,90,10.8,5,2.92,3,False
106,no,no,0,213.9,95,151.9,70,260.1,124,12.2,5,3.29,3,False
99,no,no,0,217.2,112,246.7,89,226.1,89,15.8,7,4.27,3,False
99,no,no,0,241.1,72,155.6,98,188.2,109,11.6,10,3.13,1,False
144,yes,no,0,203.5,100,247.6,103,194.3,94,11.9,11,3.21,0,False
82,no,yes,24,155.2,131,244.5,106,122.4,68,10.7,3,2.89,1,False
86,no,yes,31,167.6,139,113,118,246.9,121,12.2,6,3.29,1,False
70,yes,no,0,226.7,98,228.1,115,73.2,93,17.6,4,4.75,2,True
93,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3.11,3,False
93,no,no,0,151.4,89,186.4,76,172.5,120,10.9,3,2.94,0,False
120,no,no,0,180,80,224.2,82,265.4,91,4.7,7,1.27,3,False
136,no,no,0,250.2,121,267.1,118,151,114,13,2,3.51,1,True
106,no,no,0,223,121,110.1,98,188.7,107,7.1,12,1.92,0,False
81,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3.29,3,False
127,no,yes,22,166,114,174.5,103,244.9,68,10.2,6,2.75,1,False
65,no,no,0,136.1,112,272.9,96,220.2,104,4.4,2,1.19,1,False
35,no,no,0,149.3,113,242.2,122,174.3,104,8.9,6,2.4,2,False
88,no,no,0,65.4,97,168.2,76,236,113,13.8,1,3.73,2,False
65,no,no,0,213.4,111,234.5,94,250.1,123,2.7,4,0.73,1,False
123,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,2.08,3,False
126,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2.59,2,False
104,no,yes,23,280.2,136,220.5,92,136.9,102,13.3,3,3.59,4,False
45,no,yes,22,196.6,84,313.2,92,163.3,108,11.9,3,3.21,0,False
93,yes,no,0,312,109,129.4,100,217.6,74,10.5,2,2.84,0,True
63,yes,yes,36,199,110,291.3,111,197.6,92,11,6,2.97,1,False
100,no,no,0,203.1,96,217,126,180.9,122,13.5,2,3.65,3,False
53,no,no,0,168.8,97,220.3,87,154.3,113,10.9,2,2.94,0,False
92,yes,no,0,173.1,140,240.3,105,233.2,117,9,5,2.43,1,False
139,no,no,0,134.4,106,211.3,98,193.6,125,10.2,2,2.75,5,True
110,no,yes,40,202.6,103,118.8,128,234.9,98,9,9,2.43,2,False
110,no,no,0,74.5,117,200.8,98,192.2,101,9.8,7,2.65,3,False
215,no,no,0,83.6,148,120.9,91,226.6,110,10.7,9,2.89,0,False
73,no,no,0,192.2,86,168.6,116,139.8,87,9.4,6,2.54,1,False
138,no,no,0,220.2,89,88.3,125,195.3,79,12.9,5,3.48,0,False
137,yes,no,0,135.1,95,134.1,102,223.1,81,12.3,2,3.32,2,True
36,no,no,0,253.4,77,182.4,151,275.8,103,8.4,2,2.27,1,False
85,no,no,0,225,81,176.9,63,194.3,110,7.1,2,1.92,3,False
108,no,no,0,198.5,99,267.8,60,354.9,75,9.4,3,2.54,0,True
22,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,2.57,0,False
107,no,yes,37,60,102,102.2,80,261.8,106,11.1,3,3,0,False
51,no,no,0,214.8,94,149.7,58,283.4,66,10.2,5,2.75,0,False
94,no,no,0,181.8,85,202.4,98,245.9,97,9.2,2,2.48,4,False
119,no,yes,23,154,114,278,137,228.4,112,11.8,4,3.19,2,False
33,no,yes,29,157.4,99,117.9,80,279.2,79,13.9,11,3.75,4,True
106,no,no,0,207.9,91,172,109,191.8,143,14.4,7,3.89,4,False
82,no,no,0,207,90,232.9,83,172.4,108,9.1,8,2.46,3,False
86,no,yes,41,119,101,230,134,236.9,58,9.5,3,2.57,0,False
97,yes,no,0,143.7,117,273,82,178.3,81,10.9,3,2.94,0,False
106,no,yes,32,165.9,126,216.5,93,173.1,86,14.1,8,3.81,4,False
108,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,2.65,1,False
114,no,no,0,84.7,118,249.9,86,193.4,95,14.5,8,3.92,1,False
92,yes,no,0,62.6,111,180.6,126,221.7,80,10.4,2,2.81,1,True
59,no,no,0,155.2,79,235.3,123,169.4,80,8.7,4,2.35,1,False
24,no,yes,25,164.9,110,209.3,105,231.2,55,6.7,9,1.81,1,False
151,no,no,0,134.5,88,143.1,112,223.9,61,15.4,1,4.16,1,False
117,no,no,0,143.3,103,211.3,108,185.2,96,11.5,3,3.11,1,False
78,no,no,0,168.3,110,221.2,73,241,136,12.5,1,3.38,1,False
155,no,no,0,262.4,55,194.6,113,146.5,85,8.3,6,2.24,2,False
114,no,yes,30,206.2,79,260,91,291.6,83,11.4,6,3.08,1,False
114,no,yes,28,225.8,94,193,117,232.4,100,8.4,9,2.27,4,False
119,no,no,0,138.3,89,170.5,78,263.9,98,13.5,6,3.65,3,False
64,no,yes,48,94.4,104,136.2,101,147.4,89,4.5,4,1.22,0,False
118,yes,no,0,160,123,175.4,96,184.8,99,9.9,3,2.67,2,False
101,no,no,0,206.6,105,224.9,117,249.9,100,14.6,3,3.94,0,False
117,no,no,0,134.7,121,180,83,200.9,104,7.7,3,2.08,1,False
49,no,yes,28,214.4,78,235.2,100,206.2,107,8,13,2.16,3,False
139,no,no,0,192.8,104,234.4,96,203.2,101,13,3,3.51,3,False
92,no,yes,28,151.1,90,194.8,79,239.2,114,10,3,2.7,1,False
83,no,no,0,221.4,103,231.8,103,122.5,100,9.8,5,2.65,3,False
148,yes,no,0,218.9,88,208,85,203.3,99,11.1,4,3,0,False
144,no,yes,48,189.8,96,123.4,67,214.2,106,6.5,2,1.76,2,True
131,no,yes,25,192.7,85,225.9,105,254.2,59,10.9,6,2.94,2,False
146,yes,no,0,204.4,135,219.1,90,222.7,114,10.5,6,2.84,3,False
143,no,no,0,172.3,97,174,108,188.2,119,13,4,3.51,2,False
81,no,no,0,198.4,93,210.9,108,193.3,71,10.4,6,2.81,2,False
48,no,yes,37,211.7,115,159.9,84,144.1,80,12.2,1,3.29,1,False
86,no,yes,28,221.6,74,288.4,100,240.3,105,9,2,2.43,1,False
71,no,no,0,197.9,108,181.5,109,281.4,56,6.7,5,1.81,3,False
145,no,yes,24,147.5,90,175.7,108,252.1,102,15.6,3,4.21,2,False
137,no,no,0,206.4,122,128,102,194.5,84,8.8,5,2.38,2,False
137,no,no,0,205.9,88,209.3,86,289.9,84,14.5,4,3.92,2,False
167,no,no,0,207.6,88,132.4,63,255.2,98,14.1,5,3.81,0,False
89,no,no,0,303.9,95,260.9,114,312.1,89,5.3,3,1.43,1,True
199,no,yes,34,230.6,121,219.4,99,299.3,94,8,2,2.16,0,False
132,no,no,0,99.5,110,129.1,80,125.1,124,9.7,3,2.62,0,False
94,no,no,0,177.1,112,194,112,146.7,108,5.9,4,1.59,1,False
96,no,yes,37,172.7,93,120.1,116,216.1,86,10.3,5,2.78,5,True
96,no,yes,18,172.7,86,133.4,113,259.5,70,9.8,3,2.65,1,False
166,no,no,0,204.2,115,179.9,152,216.8,109,9.5,5,2.57,1,False
74,no,no,0,85.7,83,247.7,67,142.4,85,10.1,5,2.73,2,False
36,no,no,0,157.6,117,184.3,58,240.4,99,11.9,1,3.21,0,False
113,no,no,0,215.5,129,218.7,117,207.1,91,6.6,9,1.78,4,False
94,no,no,0,181.5,98,199.9,88,287.7,114,6.6,5,1.78,1,False
67,no,no,0,171.7,80,110.4,81,195.4,111,11.9,4,3.21,2,False
127,no,no,0,266.6,106,264.8,168,207.2,119,5.9,2,1.59,1,True
121,no,no,0,170.4,108,350.5,68,297,87,11.2,3,3.02,0,True
158,no,no,0,158,106,292.5,114,241.1,89,9.1,4,2.46,1,False
136,no,no,0,92,117,253.6,77,214.1,90,10.3,10,2.78,1,False
196,no,no,0,234,109,249.5,114,173.1,70,9.1,5,2.46,2,False
113,no,no,0,272.1,111,268.5,118,213.8,105,8.5,10,2.3,1,True
122,no,no,0,296.4,99,214.8,89,133.9,107,11.4,3,3.08,4,True
112,no,no,0,194.4,101,190.3,82,183.4,107,11.4,2,3.08,0,False
209,no,no,0,227.2,128,258.4,92,183.5,74,8.9,4,2.4,3,False
62,no,no,0,248.7,109,220,118,265.7,78,13.2,2,3.56,1,True
110,no,yes,38,236.3,102,195.9,112,183.5,82,9.7,6,2.62,1,False
16,no,no,0,205.6,69,169.5,93,220.1,64,10.9,3,2.94,0,False
73,no,no,0,94.1,136,280.3,122,205,77,9.8,4,2.65,0,False
128,no,no,0,125.2,99,205.4,107,254.4,111,18.9,2,5.1,0,False
39,no,no,0,60.4,158,306.2,120,123.9,46,12.4,3,3.35,1,False
103,no,yes,28,121,105,270.4,100,160.5,76,7.7,4,2.08,2,False
119,no,yes,29,117.8,66,256.8,114,147.6,76,7.6,3,2.05,3,False
173,no,yes,21,232.4,96,211.9,118,273,102,5,5,1.35,3,False
128,yes,yes,32,223.5,81,188.8,74,154.9,101,9.4,2,2.54,2,True
86,no,no,0,176.3,79,259.2,97,287.4,78,6.2,3,1.67,0,False
114,no,yes,32,125.2,79,177.8,105,232.4,89,12.9,3,3.48,1,False
104,no,no,0,138.7,107,256.9,113,234.9,74,10,3,2.7,0,False
148,no,no,0,86.3,134,246.6,92,251.6,91,11.3,4,3.05,1,False
129,no,no,0,207,91,154.9,121,245.1,112,13.4,5,3.62,3,False
100,no,yes,30,58.8,104,219.5,107,152.3,118,7.1,3,1.92,0,False
121,no,yes,35,68.7,95,209.2,69,197.4,42,11.4,4,3.08,1,False
143,no,yes,33,239.2,109,235.5,112,156.3,95,9.5,4,2.57,1,False
76,no,no,0,198.3,130,217.1,86,188.4,96,12.5,3,3.38,0,False
158,no,no,0,205.2,97,240.6,77,79.7,108,14.4,12,3.89,0,False
116,no,no,0,192.1,98,312.9,135,130.2,94,7.9,2,2.13,3,False
54,no,no,0,272.6,83,248.7,74,197.4,111,9.5,2,2.57,1,True
86,no,no,0,128.3,121,197.1,93,138.4,152,12.2,5,3.29,7,True
108,no,no,0,169.6,99,264.1,87,206.3,78,9.3,4,2.51,0,False
66,no,no,0,201.3,95,152.8,66,233.2,101,7.5,4,2.03,1,False
151,no,yes,17,214.7,97,138.5,90,169.1,44,8.6,4,2.32,1,False
99,no,no,0,169.2,70,271.5,77,170.2,104,10.6,2,2.86,0,False
55,no,no,0,194.1,121,176.6,110,302.8,136,7,7,1.89,2,False
77,no,no,0,233.8,104,266.5,94,212.7,104,7.6,3,2.05,2,False
78,no,no,0,225.1,67,199.2,127,175.5,102,14.6,2,3.94,0,False
89,no,no,0,213,63,176.6,71,262.6,126,9.1,1,2.46,1,True
101,no,no,0,183.9,115,255.9,101,275,145,10.8,11,2.92,1,False
44,no,yes,34,221.8,105,161.7,85,227.7,62,14,7,3.78,0,False
98,no,yes,21,64.6,98,176.1,86,244.8,84,0,0,0,2,False
64,no,yes,37,154.6,92,83.4,103,165.9,99,13.3,3,3.59,1,False
141,no,no,0,260.2,131,179.2,120,135,119,7.2,8,1.94,3,False
81,no,yes,33,161.6,117,123,90,261.3,101,12.2,5,3.29,1,False
162,no,no,0,220.6,117,155.2,121,186.7,89,10.5,11,2.84,1,False
83,no,yes,41,155.9,122,162.3,107,127.6,105,13.1,5,3.54,3,False
